Player ,Status,Years,WAR,ERA,WHIP,WAR vs HOF,ERA vs HOF,WHIP vs HOF
Cy Young ,H,22,165.7,2.627,1.1296,1.475,0.112,0.055
Walter Johnson ,H,21,151.9,2.167,1.0612,1.269,0.268,0.112
Roger Clemens ,I,24,138.7,3.125,1.1725,1.072,-0.056,0.019
Kid Nichols ,H,15,116.7,2.955,1.2237,0.743,0.001,-0.024
Pete Alexander ,H,20,116,2.56,1.1212,0.733,0.135,0.062
Lefty Grove ,H,17,113.3,3.058,1.278,0.693,-0.033,-0.069
Tom Seaver ,H,20,106,2.862,1.1208,0.583,0.033,0.062
Greg Maddux ,H,23,104.8,3.156,1.1431,0.566,-0.067,0.043
Randy Johnson ,H,22,103.5,3.293,1.1711,0.546,-0.113,0.02
Christy Mathewson ,H,17,99.8,2.133,1.0581,0.491,0.279,0.115
Phil Niekro ,H,24,97,3.351,1.2681,0.449,-0.132,-0.061
Bert Blyleven ,H,22,96.1,3.314,1.198,0.436,-0.12,-0.003
Gaylord Perry ,H,22,93,3.105,1.1807,0.389,-0.049,0.012
Warren Spahn ,H,21,92.5,3.086,1.1946,0.382,-0.043,0
Tim Keefe ,H,14,89.1,2.627,1.123,0.331,0.112,0.06
Eddie Plank ,H,17,87.7,2.35,1.1189,0.31,0.206,0.064
Pedro Martinez ,H,18,86.1,2.925,1.0544,0.286,0.011,0.118
John Clarkson ,H,12,84.9,2.811,1.2093,0.268,0.05,-0.012
Steve Carlton ,H,24,84.1,3.215,1.2467,0.256,-0.087,-0.043
Nolan Ryan ,H,27,83.6,3.193,1.2473,0.249,-0.079,-0.044
Pud Galvin ,H,15,83.3,2.853,1.191,0.244,0.036,0.003
Robin Roberts ,H,19,83,3.405,1.1696,0.24,-0.151,0.021
Mike Mussina ,H,18,82.8,3.683,1.1915,0.237,-0.245,0.003
Fergie Jenkins ,H,19,82.2,3.338,1.1418,0.228,-0.128,0.045
Bob Gibson ,H,17,81.7,2.915,1.1881,0.22,0.015,0.006
Curt Schilling ,I,20,80.5,3.458,1.1374,0.203,-0.169,0.048
Jim McCormick ,I,10,76,2.431,1.1322,0.135,0.178,0.053
Tom Glavine ,H,22,73.9,3.536,1.3137,0.104,-0.195,-0.099
Old Hoss Radbourn ,H,12,73.2,2.678,1.1492,0.093,0.095,0.038
Justin Verlander ,A,16,72.3,3.328,1.1342,0.08,-0.125,0.051
Carl Hubbell ,H,16,68.9,2.978,1.1659,0.029,-0.006,0.024
Don Sutton ,H,23,68.3,3.261,1.1425,0.02,-0.102,0.044
Kevin Brown ,I,19,68.2,3.275,1.2222,0.019,-0.107,-0.023
Rick Reuschel ,I,19,68.1,3.373,1.2747,0.017,-0.14,-0.067
Red Faber ,H,20,67.7,3.149,1.3015,0.011,-0.064,-0.089
Jim Palmer ,H,19,67.6,2.856,1.1803,0.01,0.035,0.012
Vic Willis ,H,13,67.5,2.628,1.2095,0.008,0.112,-0.012
Zack Greinke ,A,17,67.3,3.34,1.1557,0.005,-0.129,0.033
Ted Lyons ,H,21,66.8,3.668,1.3482,-0.002,-0.24,-0.128
John Smoltz ,H,21,66.4,3.327,1.1759,-0.008,-0.124,0.016
Stan Coveleski ,H,14,66.4,2.891,1.2515,-0.008,0.023,-0.047
Clayton Kershaw ,A,13,65.9,2.439,1.0054,-0.016,0.176,0.159
Luis Tiant ,I,19,65.6,3.304,1.1987,-0.02,-0.117,-0.003
Roy Halladay ,H,16,65.4,3.385,1.1777,-0.023,-0.144,0.014
Bob Feller ,H,18,65.2,3.255,1.3157,-0.026,-0.1,-0.101
Amos Rusie ,H,10,65.2,3.068,1.3486,-0.026,-0.037,-0.129
Ed Walsh ,H,14,63.7,1.816,0.9996,-0.048,0.386,0.164
Mickey Welch ,H,13,63.1,2.712,1.2255,-0.057,0.083,-0.026
Dazzy Vance ,H,16,62.9,3.24,1.23,-0.06,-0.095,-0.029
Bobby Mathews ,I,15,62.3,2.857,1.2375,-0.069,0.034,-0.036
Dennis Eckersley ,H,24,62.2,3.501,1.1608,-0.071,-0.183,0.029
Tommy John ,I,26,62.1,3.342,1.2827,-0.072,-0.129,-0.073
CC Sabathia ,I,19,62,3.736,1.2588,-0.074,-0.263,-0.053
Juan Marichal ,H,16,61.8,2.89,1.1012,-0.077,0.023,0.078
David Cone ,I,17,61.6,3.462,1.2561,-0.08,-0.17,-0.051
Don Drysdale ,H,14,61.3,2.948,1.1477,-0.084,0.004,0.04
Joe McGinnity ,H,10,61.3,2.657,1.1879,-0.084,0.102,0.006
Tony Mullane ,I,13,61.1,3.053,1.2365,-0.087,-0.032,-0.035
Tommy Bond ,I,10,61,2.138,1.0908,-0.089,0.277,0.087
Rube Waddell ,H,13,60.8,2.161,1.1019,-0.092,0.27,0.078
Charlie Buffinton ,I,11,60.7,2.961,1.2338,-0.093,-0.001,-0.032
Andy Pettitte ,I,18,60.7,3.849,1.3507,-0.093,-0.301,-0.13
Jim Bunning ,H,17,60.4,3.269,1.1789,-0.098,-0.105,0.013
Hal Newhouser ,H,17,60,3.055,1.3107,-0.104,-0.032,-0.097
Mark Buehrle ,I,16,60,3.813,1.281,-0.104,-0.289,-0.072
Jack Quinn ,I,23,59.7,3.29,1.3004,-0.108,-0.112,-0.088
Max Scherzer ,A,13,59.3,3.21,1.0964,-0.114,-0.085,0.083
Clark Griffith ,H,21,59.3,3.312,1.3126,-0.114,-0.119,-0.098
Bret Saberhagen ,I,16,58.9,3.343,1.1406,-0.12,-0.13,0.046
Cole Hamels ,A,14,58.5,3.42,1.1827,-0.126,-0.156,0.01
Chuck Finley ,I,17,58.3,3.845,1.3765,-0.129,-0.299,-0.152
Eddie Cicotte ,I,14,57.5,2.38,1.1544,-0.141,0.196,0.034
Eppa Rixey ,H,21,57.4,3.148,1.2715,-0.143,-0.064,-0.064
Mordecai Brown ,H,14,57.2,2.057,1.0658,-0.146,0.305,0.108
Frank Tanana ,I,21,57.1,3.662,1.2697,-0.147,-0.238,-0.063
Jerry Koosman ,I,19,57,3.359,1.2588,-0.149,-0.135,-0.053
Tim Hudson ,I,17,56.5,3.492,1.239,-0.156,-0.18,-0.037
Dave Stieb ,I,16,56.5,3.438,1.2455,-0.156,-0.162,-0.042
Mariano Rivera ,H,19,56.3,2.209,1.0003,-0.159,0.253,0.163
Red Ruffing ,H,22,55.4,3.798,1.3409,-0.172,-0.284,-0.122
Kevin Appier ,I,16,54.9,3.738,1.2939,-0.18,-0.263,-0.083
Jack Powell ,I,16,54.8,2.973,1.2167,-0.181,-0.005,-0.018
Urban Shocker ,I,13,54.8,3.172,1.2552,-0.181,-0.072,-0.05
Waite Hoyt ,H,21,54.2,3.588,1.3396,-0.19,-0.213,-0.121
Al Spalding ,H,8,53.6,2.133,1.1932,-0.199,0.279,0.002
Whitey Ford ,H,16,53.6,2.745,1.215,-0.199,0.072,-0.017
David Wells ,I,21,53.6,4.13,1.2661,-0.199,-0.396,-0.059
Billy Pierce ,I,18,53.3,3.269,1.2602,-0.204,-0.105,-0.055
Sandy Koufax ,H,12,53.1,2.761,1.1061,-0.207,0.067,0.074
Larry Jackson ,I,14,52.6,3.401,1.2352,-0.214,-0.149,-0.034
Wilbur Wood ,I,17,52.2,3.236,1.2317,-0.22,-0.094,-0.031
Dutch Leonard ,I,20,51.7,3.25,1.2556,-0.228,-0.098,-0.051
Tommy Bridges ,I,16,51.6,3.573,1.3682,-0.229,-0.208,-0.145
Early Wynn ,H,23,51.5,3.542,1.3291,-0.231,-0.197,-0.112
